building_id,original_mean,modified_mean,anomalous_subsequences,min_anomaly_length,max_anomaly_length,total_anomalous_points
1,35.3336073027266,30.701900373326808,257,1,1,257
32,98.40620460175317,85.2862702094167,257,1,1,257
41,61.06440170995665,52.9463095848998,257,1,1,257
55,33.90652438782908,29.39687699583856,257,1,1,257
69,29.374116227567125,25.704377451498615,257,1,1,257
79,176.92530248906095,153.5752098946811,257,1,1,257
82,15.801585906767674,13.69576036009232,257,1,1,257
91,127.0410034464226,110.21504596906702,257,1,1,257
107,199.19363557909023,173.7998897295053,358,1,1,358
108,205.86826836156274,176.56917783958414,419,1,1,419
111,371.4901205431027,320.92819202251025,419,1,1,419
112,22.84522866765929,19.764446261660694,419,1,1,419
117,42.59352378395695,36.63276533763412,419,1,1,419
118,344.096085837887,297.3173579982202,419,1,1,419
119,496.5567854583723,428.9989962602879,419,1,1,419
121,565.6467323542805,489.87202886282995,419,1,1,419
136,32.68872446699087,28.09046410272536,419,1,1,419
137,37.38258943068749,32.19623389216529,419,1,1,419
139,69.63578984423664,59.79971272661551,419,1,1,419
141,48.27814537323171,41.36189118177568,419,1,1,419
144,28.437644555698856,24.400381168309845,419,1,1,419
147,116.51938931026146,100.67529786529171,419,1,1,419
148,200.93321905552492,173.1853500291217,419,1,1,419
149,107.9509462756138,92.84944561752474,419,1,1,419
159,15.145339108628747,13.109506224633924,418,1,1,418
171,51.517959459519396,44.75583861377014,419,1,1,419
173,126.90862885776107,109.89003620249949,419,1,1,419
174,168.12790684432295,145.1464974103677,419,1,1,419
181,201.92461897710442,173.7091565986521,418,1,1,418
183,219.66841134267167,189.24470674776015,419,1,1,419
190,123.90296699381258,106.94153450610459,419,1,1,419
235,36.71520385815047,31.62765634091244,419,1,1,419
238,134.73874130819092,116.25702393763844,404,1,1,404
240,100.48521038495987,86.71793604399652,419,1,1,419
246,360.5633306763835,311.40106336771584,419,1,1,419
247,171.53270551247797,148.2167604314184,415,1,1,415
248,63.09269038899781,54.44842475043892,419,1,1,419
253,87.97700751537235,75.9831471819898,419,1,1,419
254,307.37235093762246,266.0089060021807,419,1,1,419
263,62.4158237096394,53.99422768654789,404,1,1,404
270,21.193932240514773,18.321213608545513,416,1,1,416
275,146.2217776907904,126.20056514032974,419,1,1,419
276,189.03591510790946,163.03591896584805,419,1,1,419
278,158.47800930117708,136.70455134789913,419,1,1,419
